sample,gps_start_heading,gps_start_x_position,gps_start_y_position,inertial_start_heading,inertial_start_rotation,distance_limit_forward,distance_limit_reverse,distance_estimate,left_direction,right_direction,volts,duration_ms,gps_stop_heading,gps_stop_x_position,gps_stop_y_position,inertial_stop_heading,inertial_stop_rotation,gps_cooldown_heading,gps_cooldown_x_position,gps_cooldown_y_position,inertial_cooldown_heading,inertial_cooldown_rotation,gps_final_heading,gps_final_x_position,gps_final_y_position,inertial_final_heading,inertial_final_rotation,gps_stop_angle,gps_cooldown_angle,gps_final_angle,inertial_stop_angle,inertial_cooldown_angle,inertial_final_angle,inertial_stop_travel,inertial_cooldown_travel,inertial_final_travel,gps_stop_distance,gps_cooldown_distance,gps_final_distance
57,268.3399,1028.916,257.2209,268.3399,-93.41739,2830.104,771.4077,583.0,0.0,1.0,2.8,1150.0,351.3548,1121.838,183.4288,7.808535,6.051243,18.09673,1104.617,101.9456,17.67478,15.91749,20.59879,1072.329,109.2443,17.67499,15.9177,83.0149,109.7568,112.2589,99.4686,109.3349,109.3351,99.4686,109.3349,109.3351,118.6582,172.7457,154.2134
58,20.70692,1064.842,111.8297,20.70692,15.91826,785.9277,2043.86,3551.5,0.0,1.0,11.8,1950.0,327.4919,1000.436,-52.05172,216.1836,931.395,35.86436,1096.258,117.0102,14.33418,1089.546,30.95102,1064.346,108.4134,14.33419,1089.546,-53.215,15.1574,10.2441,-164.5233,-6.3727,-6.3727,915.4767,1073.6277,1073.6277,176.0831,31.8403,3.4521
59,30.669,1081.739,126.6588,30.669,1089.546,835.0627,2239.967,2713.75,1.0,0.0,8.5,2050.0,87.14266,1096.002,-71.48707,72.44612,411.3232,339.992,981.8359,98.50276,349.4296,328.3067,336.7151,1015.092,131.9951,349.4303,328.3074,56.4737,-50.677,-53.9539,41.7771,-41.2394,-41.2387,-678.2228,-761.2393,-761.2386,198.6585,103.795,66.8603
60,337.1608,1025.287,158.7603,337.1608,-0.07268515,1780.863,1995.935,175.0,0.0,1.0,0.4,1250.0,336.5992,1030.336,158.6206,337.1614,-0.07212872,336.4474,1035.027,155.1606,337.1611,-0.07241654,336.4085,1042.657,150.8252,337.1615,-0.07199135,-0.5616,-0.7134,-0.7523,0.0006,0.0003,0.0007,0.0006,0.0003,0.0007,5.0509,10.3839,19.0967
61,336.4403,1040.19,153.129,336.4403,-0.07119825,1796.631,1900.932,215.5,0.0,1.0,1.1,700.0,341.657,1051.12,139.1128,342.2326,5.721104,342.7948,1051.946,131.895,342.728,6.216519,342.8873,1051.145,131.3036,342.7278,6.216316,5.2167,6.3545,6.447,5.7923,6.2877,6.2875,5.7923,6.2877,6.2875,17.7741,24.2711,24.4205
62,342.8898,1050.562,130.9912,342.8898,6.216141,1746.299,2020.413,2672.5,1.0,0.0,9.8,1750.0,335.6712,1135.793,-150.0501,37.37816,-659.2955,276.5036,895.2866,126.1483,292.3398,-764.3339,280.2251,942.0268,146.1769,292.3385,-764.3352,-7.2186,-66.3862,-62.6647,54.4884,-50.55,-50.5513,-665.5116,-770.55,-770.5513,293.681,155.3509,109.5924
63,280.8944,954.6809,158.1787,280.8944,-764.3344,1671.955,860.8338,1075.0,0.0,1.0,10.0,650.0,158.8244,1076.362,-72.68738,142.2959,-542.933,261.4252,980.4044,201.4538,254.6795,-430.5494,259.7419,989.2824,200.8626,254.6794,-430.5495,-122.07,-19.4692,-21.1525,-138.5985,-26.2149,-26.215,221.4014,333.785,333.7849,260.9702,50.3431,54.9471
64,259.4706,994.5659,211.8153,259.4706,-430.549,2842.429,819.2289,2158.75,0.0,1.0,6.1,2250.0,44.68111,1151.974,297.3533,64.69955,94.67999,117.678,1030.798,95.94303,109.4529,139.4333,119.3395,1017.257,106.2512,109.4524,139.4329,145.2105,-141.7926,-140.1311,165.2289,-150.0177,-150.0182,525.229,569.9823,569.9819,179.1481,121.4049,107.9753
65,119.4117,1012.956,109.1545,119.4117,139.434,903.4923,1941.017,877.0,1.0,0.0,2.8,1850.0,324.7713,1046.133,271.1566,314.4619,-25.51589,304.7279,1001.916,284.7797,303.8061,-36.17164,301.1595,1008.926,265.9211,303.8074,-36.17037,-154.6404,-174.6838,-178.2522,-164.9498,-175.6056,-175.6043,-164.9499,-175.6056,-175.6044,165.3644,175.9719,156.8184
66,300.1775,1029.52,303.3568,300.1775,-36.17149,1731.279,891.2715,898.0,0.0,1.0,5.6,950.0,138.2945,1125.676,75.04041,129.5576,153.2086,175.111,1063.609,117.8908,170.8352,194.4862,174.5083,1057.498,135.1796,170.8354,194.4865,-161.883,-125.0665,-125.6692,-170.6199,-129.3423,-129.3421,189.3801,230.6577,230.658,247.7385,188.5728,170.4885
